t,edge_id,vertex1,vertex2,length,average_width,intensity,betweenness_centrality
500.0,354.0,965.0,1003.0,9.0,2.724120184630233,143.0,0.0
500.0,355.0,967.0,1019.0,11.0,1.0690355937288492,80.5,0.0
500.0,356.0,968.0,981.0,3.0,1.25,83.0,0.0
500.0,357.0,970.0,952.0,3.0,1.1035533905932735,88.0,0.0
500.0,358.0,974.0,991.0,6.0,1.4132746038560242,90.57142857142856,0.0
500.0,359.0,984.0,983.0,3.0,1.3535533905932735,124.25,0.0
500.0,360.0,987.0,1036.0,10.0,1.1876813729314526,106.54545454545456,0.0
500.0,361.0,988.0,964.0,6.0,1.0591733660532994,108.85714285714286,0.0
500.0,362.0,989.0,1017.0,5.0,1.4417135899788145,94.0,0.0
500.0,363.0,992.0,1011.0,3.0,1.1035533905932735,83.5,0.0
500.0,364.0,996.0,1010.0,2.0,1.1380711874576983,88.0,0.0
500.0,365.0,998.0,932.0,14.0,5.545462494622926,151.0,0.0
