t,y,x,vertex_id,is_tip,origin,vertex_connected
500,637,1189,1180,1,0,0
500,638,179,1182,1,2,0
500,638,887,1184,1,0,0
500,638,930,1185,1,0,0
500,638,1106,1186,1,0,0
500,639,302,1189,1,0,0
500,639,1087,1190,1,0,0
500,639,1091,1191,1,0,0
500,640,960,1193,1,0,0
500,640,1162,1194,1,0,0
500,642,1199,1205,1,0,0
500,643,304,1207,1,0,0
500,646,1285,1222,1,0,0
500,647,1309,1229,1,2,0
500,648,1056,1231,1,0,0
500,649,876,1235,1,0,0
500,650,1110,1244,1,0,0
500,652,243,1248,1,0,0
500,652,486,1249,1,0,0
500,653,336,1253,1,0,0
500,653,582,1254,1,0,0
500,654,533,1257,1,0,0
500,655,1023,1265,1,0,0
500,655,1277,1267,1,0,0
500,655,1293,1268,1,0,0
500,656,212,1269,1,2,0
500,656,919,1272,1,0,0
500,657,253,1273,1,0,0
500,657,330,1274,1,0,0
500,657,1191,1277,1,0,0
500,658,183,1278,1,2,0
500,659,444,1288,1,0,0
500,659,1069,1289,1,0,0
500,660,1004,1291,1,0,0
500,661,406,1294,1,0,0
500,662,1076,1298,1,0,0
500,663,277,1299,1,0,0
500,663,332,1300,1,0,0
500,663,1129,1305,1,0,0
500,664,851,1310,1,0,0
500,664,1286,1314,1,0,0
500,665,268,1316,1,0,0
500,665,1236,1319,1,0,0
500,665,1268,1320,1,0,0
500,666,261,1321,1,0,0
500,666,1015,1323,1,0,0
500,666,1033,1324,1,0,0
500,666,1208,1326,1,0,0
500,667,925,1331,1,0,0
500,668,1134,1334,1,0,0
500,670,986,1345,1,0,0
500,670,1247,1347,1,0,0
500,670,1255,1348,1,0,0
500,671,360,1349,1,0,0
500,671,1239,1353,1,0,0
500,671,1270,1355,1,0,0
500,671,1281,1356,1,0,0
500,672,238,1357,1,0,0
500,672,372,1358,1,0,0
500,672,1039,1359,1,0,0
